Pipe_ID,Start_Node,End_Node,Diameter,Length,Material
P_building_s1_1_1_24,junction_third_s1_1_1_24,Building_24,0.08,175,PVC
P_building_s1_1_1_25,junction_third_s1_1_1_25,Building_25,0.08,209,PVC
P_third_s1_1_2,junction_second_s1_1_2,junction_third_s1_1_2,0.13,394,PVC
P_building_s1_1_2_1,junction_third_s1_1_2_1,Building_26,0.09,172,PVC
P_building_s1_1_2_2,junction_third_s1_1_2_2,Building_27,0.09,214,PVC
P_building_s1_1_2_3,junction_third_s1_1_2_3,Building_28,0.09,113,PVC
P_building_s1_1_2_4,junction_third_s1_1_2_4,Building_29,0.1,230,PVC
P_building_s1_1_2_5,junction_third_s1_1_2_5,Building_30,0.1,181,PVC
P_building_s1_1_2_6,junction_third_s1_1_2_6,Building_31,0.08,113,PVC
P_building_s1_1_2_7,junction_third_s1_1_2_7,Building_32,0.09,280,PVC
P_building_s1_1_2_8,junction_third_s1_1_2_8,Building_33,0.09,291,PVC
P_building_s1_1_2_9,junction_third_s1_1_2_9,Building_34,0.09,269,PVC
P_building_s1_1_2_10,junction_third_s1_1_2_10,Building_35,0.09,247,PVC
P_third_s1_1_3,junction_second_s1_1_3,junction_third_s1_1_3,0.15,437,PVC
P_building_s1_1_3_1,junction_third_s1_1_3_1,Building_36,0.09,231,PVC
P_building_s1_1_3_2,junction_third_s1_1_3_2,Building_37,0.09,265,PVC
P_building_s1_1_3_3,junction_third_s1_1_3_3,Building_38,0.1,118,PVC
P_building_s1_1_3_4,junction_third_s1_1_3_4,Building_39,0.09,276,PVC
P_building_s1_1_3_5,junction_third_s1_1_3_5,Building_40,0.08,284,PVC
P_building_s1_1_3_6,junction_third_s1_1_3_6,Building_41,0.09,182,PVC
P_building_s1_1_3_7,junction_third_s1_1_3_7,Building_42,0.09,136,PVC
P_building_s1_1_3_8,junction_third_s1_1_3_8,Building_43,0.1,180,PVC
P_building_s1_1_3_9,junction_third_s1_1_3_9,Building_44,0.09,130,PVC
P_building_s1_1_3_10,junction_third_s1_1_3_10,Building_45,0.08,249,PVC
P_building_s1_1_3_11,junction_third_s1_1_3_11,Building_46,0.09,235,PVC
P_building_s1_1_3_12,junction_third_s1_1_3_12,Building_47,0.1,193,PVC
P_building_s1_1_3_13,junction_third_s1_1_3_13,Building_48,0.09,203,PVC
P_building_s1_1_3_14,junction_third_s1_1_3_14,Building_49,0.08,131,PVC
P_building_s1_1_3_15,junction_third_s1_1_3_15,Building_50,0.09,106,PVC
P_building_s1_1_3_16,junction_third_s1_1_3_16,Building_51,0.09,274,PVC
P_building_s1_1_3_17,junction_third_s1_1_3_17,Building_52,0.08,221,PVC
P_building_s1_1_3_18,junction_third_s1_1_3_18,Building_53,0.08,200,PVC
P_building_s1_1_3_19,junction_third_s1_1_3_19,Building_54,0.09,108,PVC
P_building_s1_1_3_20,junction_third_s1_1_3_20,Building_55,0.1,196,PVC
P_building_s1_1_3_21,junction_third_s1_1_3_21,Building_56,0.1,194,PVC
P_third_s1_1_4,junction_second_s1_1_4,junction_third_s1_1_4,0.12,427,PVC
P_building_s1_1_4_1,junction_third_s1_1_4_1,Building_57,0.09,108,PVC
P_building_s1_1_4_2,junction_third_s1_1_4_2,Building_58,0.08,224,PVC
P_building_s1_1_4_3,junction_third_s1_1_4_3,Building_59,0.09,287,PVC
P_building_s1_1_4_4,junction_third_s1_1_4_4,Building_60,0.1,139,PVC
P_building_s1_1_4_5,junction_third_s1_1_4_5,Building_61,0.08,179,PVC
P_building_s1_1_4_6,junction_third_s1_1_4_6,Building_62,0.08,249,PVC
P_building_s1_1_4_7,junction_third_s1_1_4_7,Building_63,0.08,151,PVC
P_building_s1_1_4_8,junction_third_s1_1_4_8,Building_64,0.09,160,PVC
P_building_s1_1_4_9,junction_third_s1_1_4_9,Building_65,0.09,131,PVC
P_building_s1_1_4_10,junction_third_s1_1_4_10,Building_66,0.09,236,PVC
P_building_s1_1_4_11,junction_third_s1_1_4_11,Building_67,0.08,169,PVC
P_building_s1_1_4_12,junction_third_s1_1_4_12,Building_68,0.09,232,PVC
P_building_s1_1_4_13,junction_third_s1_1_4_13,Building_69,0.08,123,PVC
P_building_s1_1_4_14,junction_third_s1_1_4_14,Building_70,0.09,117,PVC
P_building_s1_1_4_15,junction_third_s1_1_4_15,Building_71,0.08,114,PVC
P_third_s1_1_5,junction_second_s1_1_5,junction_third_s1_1_5,0.11,483,PVC
P_building_s1_1_5_1,junction_third_s1_1_5_1,Building_72,0.1,246,PVC
P_building_s1_1_5_2,junction_third_s1_1_5_2,Building_73,0.08,255,PVC
P_building_s1_1_5_3,junction_third_s1_1_5_3,Building_74,0.09,179,PVC
P_building_s1_1_5_4,junction_third_s1_1_5_4,Building_75,0.08,235,PVC
P_building_s1_1_5_5,junction_third_s1_1_5_5,Building_76,0.09,161,PVC
P_building_s1_1_5_6,junction_third_s1_1_5_6,Building_77,0.08,274,PVC
P_building_s1_1_5_7,junction_third_s1_1_5_7,Building_78,0.1,165,PVC
P_building_s1_1_5_8,junction_third_s1_1_5_8,Building_79,0.08,159,PVC
P_building_s1_1_5_9,junction_third_s1_1_5_9,Building_80,0.09,163,PVC
P_building_s1_1_5_10,junction_third_s1_1_5_10,Building_81,0.08,247,PVC
P_building_s1_1_5_11,junction_third_s1_1_5_11,Building_82,0.09,105,PVC
P_third_s1_1_6,junction_second_s1_1_6,junction_third_s1_1_6,0.12,351,PVC
P_building_s1_1_6_1,junction_third_s1_1_6_1,Building_83,0.09,205,PVC
P_building_s1_1_6_2,junction_third_s1_1_6_2,Building_84,0.08,203,PVC
P_building_s1_1_6_3,junction_third_s1_1_6_3,Building_85,0.09,184,PVC
P_building_s1_1_6_4,junction_third_s1_1_6_4,Building_86,0.08,262,PVC
P_building_s1_1_6_5,junction_third_s1_1_6_5,Building_87,0.09,238,PVC
P_building_s1_1_6_6,junction_third_s1_1_6_6,Building_88,0.1,287,PVC
P_building_s1_1_6_7,junction_third_s1_1_6_7,Building_89,0.1,145,PVC
P_building_s1_1_6_8,junction_third_s1_1_6_8,Building_90,0.08,167,PVC
P_building_s1_1_6_9,junction_third_s1_1_6_9,Building_91,0.09,248,PVC
P_building_s1_1_6_10,junction_third_s1_1_6_10,Building_92,0.1,262,PVC
P_third_s1_1_7,junction_second_s1_1_7,junction_third_s1_1_7,0.12,332,PVC
P_building_s1_1_7_1,junction_third_s1_1_7_1,Building_93,0.1,168,PVC
P_building_s1_1_7_2,junction_third_s1_1_7_2,Building_94,0.08,251,PVC
P_building_s1_1_7_3,junction_third_s1_1_7_3,Building_95,0.08,172,PVC
P_building_s1_1_7_4,junction_third_s1_1_7_4,Building_96,0.08,278,PVC
P_building_s1_1_7_5,junction_third_s1_1_7_5,Building_97,0.08,100,PVC
P_building_s1_1_7_6,junction_third_s1_1_7_6,Building_98,0.08,208,PVC
P_building_s1_1_7_7,junction_third_s1_1_7_7,Building_99,0.09,270,PVC
P_building_s1_1_7_8,junction_third_s1_1_7_8,Building_100,0.08,190,PVC
P_building_s1_1_7_9,junction_third_s1_1_7_9,Building_101,0.1,126,PVC
P_building_s1_1_7_10,junction_third_s1_1_7_10,Building_102,0.09,148,PVC
P_building_s1_1_7_11,junction_third_s1_1_7_11,Building_103,0.1,152,PVC
P_building_s1_1_7_12,junction_third_s1_1_7_12,Building_104,0.09,274,PVC
P_building_s1_1_7_13,junction_third_s1_1_7_13,Building_105,0.09,213,PVC
P_building_s1_1_7_14,junction_third_s1_1_7_14,Building_106,0.1,120,PVC
P_building_s1_1_7_15,junction_third_s1_1_7_15,Building_107,0.08,125,PVC
P_building_s1_1_7_16,junction_third_s1_1_7_16,Building_108,0.09,258,PVC
P_building_s1_1_7_17,junction_third_s1_1_7_17,Building_109,0.09,201,PVC
P_building_s1_1_7_18,junction_third_s1_1_7_18,Building_110,0.08,227,PVC
P_building_s1_1_7_19,junction_third_s1_1_7_19,Building_111,0.09,149,PVC
P_building_s1_1_7_20,junction_third_s1_1_7_20,Building_112,0.09,169,PVC
P_building_s1_1_7_21,junction_third_s1_1_7_21,Building_113,0.09,161,PVC
P_third_s1_1_8,junction_second_s1_1_8,junction_third_s1_1_8,0.14,449,PVC
P_building_s1_1_8_1,junction_third_s1_1_8_1,Building_114,0.09,249,PVC
P_building_s1_1_8_2,junction_third_s1_1_8_2,Building_115,0.09,223,PVC
P_building_s1_1_8_3,junction_third_s1_1_8_3,Building_116,0.09,200,PVC
P_building_s1_1_8_4,junction_third_s1_1_8_4,Building_117,0.08,200,PVC
P_building_s1_1_8_5,junction_third_s1_1_8_5,Building_118,0.08,286,PVC
P_building_s1_1_8_6,junction_third_s1_1_8_6,Building_119,0.09,190,PVC
P_building_s1_1_8_7,junction_third_s1_1_8_7,Building_120,0.08,150,PVC
P_building_s1_1_8_8,junction_third_s1_1_8_8,Building_121,0.09,113,PVC
P_building_s1_1_8_9,junction_third_s1_1_8_9,Building_122,0.1,129,PVC
P_building_s1_1_8_10,junction_third_s1_1_8_10,Building_123,0.1,290,PVC
P_building_s1_1_8_11,junction_third_s1_1_8_11,Building_124,0.1,262,PVC
P_building_s1_1_8_12,junction_third_s1_1_8_12,Building_125,0.1,220,PVC
P_building_s1_1_8_13,junction_third_s1_1_8_13,Building_126,0.08,178,PVC
P_building_s1_1_8_14,junction_third_s1_1_8_14,Building_127,0.08,233,PVC
P_building_s1_1_8_15,junction_third_s1_1_8_15,Building_128,0.1,134,PVC
P_building_s1_1_8_16,junction_third_s1_1_8_16,Building_129,0.08,256,PVC
P_building_s1_1_8_17,junction_third_s1_1_8_17,Building_130,0.1,249,PVC
P_building_s1_1_8_18,junction_third_s1_1_8_18,Building_131,0.09,135,PVC
P_building_s1_1_8_19,junction_third_s1_1_8_19,Building_132,0.09,300,PVC
P_third_s1_1_9,junction_second_s1_1_9,junction_third_s1_1_9,0.12,401,PVC
P_building_s1_1_9_1,junction_third_s1_1_9_1,Building_133,0.09,208,PVC
P_building_s1_1_9_2,junction_third_s1_1_9_2,Building_134,0.08,173,PVC
P_building_s1_1_9_3,junction_third_s1_1_9_3,Building_135,0.09,283,PVC
P_building_s1_1_9_4,junction_third_s1_1_9_4,Building_136,0.1,258,PVC
P_building_s1_1_9_5,junction_third_s1_1_9_5,Building_137,0.09,138,PVC
P_building_s1_1_9_6,junction_third_s1_1_9_6,Building_138,0.08,101,PVC
P_building_s1_1_9_7,junction_third_s1_1_9_7,Building_139,0.09,245,PVC
P_building_s1_1_9_8,junction_third_s1_1_9_8,Building_140,0.09,285,PVC
P_building_s1_1_9_9,junction_third_s1_1_9_9,Building_141,0.1,178,PVC
P_building_s1_1_9_10,junction_third_s1_1_9_10,Building_142,0.09,248,PVC
P_building_s1_1_9_11,junction_third_s1_1_9_11,Building_143,0.08,153,PVC
P_building_s1_1_9_12,junction_third_s1_1_9_12,Building_144,0.09,275,PVC
P_building_s1_1_9_13,junction_third_s1_1_9_13,Building_145,0.09,188,PVC
P_building_s1_1_9_14,junction_third_s1_1_9_14,Building_146,0.09,166,PVC
P_building_s1_1_9_15,junction_third_s1_1_9_15,Building_147,0.09,114,PVC
P_building_s1_1_9_16,junction_third_s1_1_9_16,Building_148,0.08,297,PVC
P_third_s1_1_10,junction_second_s1_1_10,junction_third_s1_1_10,0.15,467,PVC
P_building_s1_1_10_1,junction_third_s1_1_10_1,Building_149,0.1,230,PVC
P_building_s1_1_10_2,junction_third_s1_1_10_2,Building_150,0.1,160,PVC
P_building_s1_1_10_3,junction_third_s1_1_10_3,Building_151,0.08,181,PVC
P_building_s1_1_10_4,junction_third_s1_1_10_4,Building_152,0.1,148,PVC
P_building_s1_1_10_5,junction_third_s1_1_10_5,Building_153,0.09,248,PVC
P_building_s1_1_10_6,junction_third_s1_1_10_6,Building_154,0.09,267,PVC
P_building_s1_1_10_7,junction_third_s1_1_10_7,Building_155,0.08,278,PVC
P_building_s1_1_10_8,junction_third_s1_1_10_8,Building_156,0.09,270,PVC
P_building_s1_1_10_9,junction_third_s1_1_10_9,Building_157,0.1,247,PVC
P_third_s1_1_11,junction_second_s1_1_11,junction_third_s1_1_11,0.1,433,PVC
P_building_s1_1_11_1,junction_third_s1_1_11_1,Building_158,0.09,181,PVC
P_building_s1_1_11_2,junction_third_s1_1_11_2,Building_159,0.09,269,PVC
P_building_s1_1_11_3,junction_third_s1_1_11_3,Building_160,0.09,192,PVC
P_building_s1_1_11_4,junction_third_s1_1_11_4,Building_161,0.08,267,PVC
P_building_s1_1_11_5,junction_third_s1_1_11_5,Building_162,0.08,176,PVC
P_building_s1_1_11_6,junction_third_s1_1_11_6,Building_163,0.08,294,PVC
P_third_s1_1_12,junction_second_s1_1_12,junction_third_s1_1_12,0.14,485,PVC
P_building_s1_1_12_1,junction_third_s1_1_12_1,Building_164,0.08,114,PVC
P_building_s1_1_12_2,junction_third_s1_1_12_2,Building_165,0.09,173,PVC
P_building_s1_1_12_3,junction_third_s1_1_12_3,Building_166,0.09,181,PVC
P_building_s1_1_12_4,junction_third_s1_1_12_4,Building_167,0.08,233,PVC
P_building_s1_1_12_5,junction_third_s1_1_12_5,Building_168,0.08,185,PVC
P_building_s1_1_12_6,junction_third_s1_1_12_6,Building_169,0.09,284,PVC
P_building_s1_1_12_7,junction_third_s1_1_12_7,Building_170,0.09,282,PVC
P_building_s1_1_12_8,junction_third_s1_1_12_8,Building_171,0.1,209,PVC
P_building_s1_1_12_9,junction_third_s1_1_12_9,Building_172,0.08,150,PVC
P_building_s1_1_12_10,junction_third_s1_1_12_10,Building_173,0.09,100,PVC
P_building_s1_1_12_11,junction_third_s1_1_12_11,Building_174,0.1,261,PVC
P_secondary_s1_2,junction_main_s1_2,junction_second_s1_2,0.19,535,Steel
P_third_s1_2_1,junction_second_s1_2_1,junction_third_s1_2_1,0.13,417,PVC
P_building_s1_2_1_1,junction_third_s1_2_1_1,Building_175,0.09,121,PVC
P_building_s1_2_1_2,junction_third_s1_2_1_2,Building_176,0.08,209,PVC
P_building_s1_2_1_3,junction_third_s1_2_1_3,Building_177,0.09,140,PVC
P_building_s1_2_1_4,junction_third_s1_2_1_4,Building_178,0.09,117,PVC
P_building_s1_2_1_5,junction_third_s1_2_1_5,Building_179,0.09,175,PVC
P_building_s1_2_1_6,junction_third_s1_2_1_6,Building_180,0.08,184,PVC
P_building_s1_2_1_7,junction_third_s1_2_1_7,Building_181,0.09,204,PVC
P_building_s1_2_1_8,junction_third_s1_2_1_8,Building_182,0.1,230,PVC
P_building_s1_2_1_9,junction_third_s1_2_1_9,Building_183,0.1,285,PVC
P_building_s1_2_1_10,junction_third_s1_2_1_10,Building_184,0.09,183,PVC
P_building_s1_2_1_11,junction_third_s1_2_1_11,Building_185,0.09,141,PVC
P_building_s1_2_1_12,junction_third_s1_2_1_12,Building_186,0.1,102,PVC
P_building_s1_2_1_13,junction_third_s1_2_1_13,Building_187,0.08,158,PVC
P_building_s1_2_1_14,junction_third_s1_2_1_14,Building_188,0.1,145,PVC
P_building_s1_2_1_15,junction_third_s1_2_1_15,Building_189,0.1,135,PVC
P_building_s1_2_1_16,junction_third_s1_2_1_16,Building_190,0.09,111,PVC
P_building_s1_2_1_17,junction_third_s1_2_1_17,Building_191,0.09,254,PVC
P_building_s1_2_1_18,junction_third_s1_2_1_18,Building_192,0.09,261,PVC
P_building_s1_2_1_19,junction_third_s1_2_1_19,Building_193,0.08,279,PVC
P_building_s1_2_1_20,junction_third_s1_2_1_20,Building_194,0.08,231,PVC
P_building_s1_2_1_21,junction_third_s1_2_1_21,Building_195,0.09,279,PVC
P_building_s1_2_1_22,junction_third_s1_2_1_22,Building_196,0.09,282,PVC
P_building_s1_2_1_23,junction_third_s1_2_1_23,Building_197,0.08,173,PVC
P_building_s1_2_1_24,junction_third_s1_2_1_24,Building_198,0.09,275,PVC
P_building_s1_2_1_25,junction_third_s1_2_1_25,Building_199,0.08,275,PVC
P_third_s1_2_2,junction_second_s1_2_2,junction_third_s1_2_2,0.14,375,PVC
P_building_s1_2_2_1,junction_third_s1_2_2_1,Building_200,0.08,137,PVC
P_building_s1_2_2_2,junction_third_s1_2_2_2,Building_201,0.08,216,PVC
P_building_s1_2_2_3,junction_third_s1_2_2_3,Building_202,0.09,193,PVC
P_building_s1_2_2_4,junction_third_s1_2_2_4,Building_203,0.1,176,PVC
P_building_s1_2_2_5,junction_third_s1_2_2_5,Building_204,0.1,127,PVC
P_building_s1_2_2_6,junction_third_s1_2_2_6,Building_205,0.09,272,PVC
P_building_s1_2_2_7,junction_third_s1_2_2_7,Building_206,0.08,110,PVC
P_building_s1_2_2_8,junction_third_s1_2_2_8,Building_207,0.09,298,PVC
P_building_s1_2_2_9,junction_third_s1_2_2_9,Building_208,0.09,169,PVC
P_building_s1_2_2_10,junction_third_s1_2_2_10,Building_209,0.09,250,PVC
P_building_s1_2_2_11,junction_third_s1_2_2_11,Building_210,0.09,291,PVC
P_building_s1_2_2_12,junction_third_s1_2_2_12,Building_211,0.09,246,PVC
P_building_s1_2_2_13,junction_third_s1_2_2_13,Building_212,0.1,207,PVC
P_building_s1_2_2_14,junction_third_s1_2_2_14,Building_213,0.09,300,PVC
P_building_s1_2_2_15,junction_third_s1_2_2_15,Building_214,0.09,147,PVC
P_building_s1_2_2_16,junction_third_s1_2_2_16,Building_215,0.09,295,PVC
P_building_s1_2_2_17,junction_third_s1_2_2_17,Building_216,0.08,158,PVC
P_building_s1_2_2_18,junction_third_s1_2_2_18,Building_217,0.1,271,PVC
P_third_s1_2_3,junction_second_s1_2_3,junction_third_s1_2_3,0.13,376,PVC
P_building_s1_2_3_1,junction_third_s1_2_3_1,Building_218,0.09,157,PVC
P_building_s1_2_3_2,junction_third_s1_2_3_2,Building_219,0.09,204,PVC
P_building_s1_2_3_3,junction_third_s1_2_3_3,Building_220,0.08,246,PVC
P_building_s1_2_3_4,junction_third_s1_2_3_4,Building_221,0.09,244,PVC
P_building_s1_2_3_5,junction_third_s1_2_3_5,Building_222,0.08,221,PVC
P_building_s1_2_3_6,junction_third_s1_2_3_6,Building_223,0.1,193,PVC
P_building_s1_2_3_7,junction_third_s1_2_3_7,Building_224,0.1,158,PVC
P_building_s1_2_3_8,junction_third_s1_2_3_8,Building_225,0.08,146,PVC
P_building_s1_2_3_9,junction_third_s1_2_3_9,Building_226,0.1,248,PVC
P_building_s1_2_3_10,junction_third_s1_2_3_10,Building_227,0.1,280,PVC
P_building_s1_2_3_11,junction_third_s1_2_3_11,Building_228,0.09,107,PVC
P_building_s1_2_3_12,junction_third_s1_2_3_12,Building_229,0.09,298,PVC
P_building_s1_2_3_13,junction_third_s1_2_3_13,Building_230,0.1,155,PVC
P_building_s1_2_3_14,junction_third_s1_2_3_14,Building_231,0.08,191,PVC
P_building_s1_2_3_15,junction_third_s1_2_3_15,Building_232,0.09,277,PVC
P_building_s1_2_3_16,junction_third_s1_2_3_16,Building_233,0.09,296,PVC
P_building_s1_2_3_17,junction_third_s1_2_3_17,Building_234,0.08,110,PVC
P_building_s1_2_3_18,junction_third_s1_2_3_18,Building_235,0.1,213,PVC
P_building_s1_2_3_19,junction_third_s1_2_3_19,Building_236,0.09,281,PVC
P_building_s1_2_3_20,junction_third_s1_2_3_20,Building_237,0.1,159,PVC
P_third_s1_2_4,junction_second_s1_2_4,junction_third_s1_2_4,0.12,392,PVC
P_building_s1_2_4_1,junction_third_s1_2_4_1,Building_238,0.08,197,PVC
P_building_s1_2_4_2,junction_third_s1_2_4_2,Building_239,0.08,120,PVC
P_building_s1_2_4_3,junction_third_s1_2_4_3,Building_240,0.1,157,PVC
P_building_s1_2_4_4,junction_third_s1_2_4_4,Building_241,0.1,113,PVC
P_building_s1_2_4_5,junction_third_s1_2_4_5,Building_242,0.08,288,PVC
P_building_s1_2_4_6,junction_third_s1_2_4_6,Building_243,0.08,206,PVC
P_building_s1_2_4_7,junction_third_s1_2_4_7,Building_244,0.09,171,PVC
P_building_s1_2_4_8,junction_third_s1_2_4_8,Building_245,0.09,100,PVC
P_building_s1_2_4_9,junction_third_s1_2_4_9,Building_246,0.08,170,PVC
P_building_s1_2_4_10,junction_third_s1_2_4_10,Building_247,0.08,179,PVC
P_building_s1_2_4_11,junction_third_s1_2_4_11,Building_248,0.09,151,PVC
P_building_s1_2_4_12,junction_third_s1_2_4_12,Building_249,0.09,150,PVC
P_building_s1_2_4_13,junction_third_s1_2_4_13,Building_250,0.08,109,PVC
P_building_s1_2_4_14,junction_third_s1_2_4_14,Building_251,0.08,252,PVC
P_building_s1_2_4_15,junction_third_s1_2_4_15,Building_252,0.09,200,PVC
P_building_s1_2_4_16,junction_third_s1_2_4_16,Building_253,0.09,140,PVC
P_building_s1_2_4_17,junction_third_s1_2_4_17,Building_254,0.08,274,PVC
P_building_s1_2_4_18,junction_third_s1_2_4_18,Building_255,0.08,300,PVC
P_building_s1_2_4_19,junction_third_s1_2_4_19,Building_256,0.1,250,PVC
P_building_s1_2_4_20,junction_third_s1_2_4_20,Building_257,0.08,155,PVC
P_building_s1_2_4_21,junction_third_s1_2_4_21,Building_258,0.1,233,PVC
P_building_s1_2_4_22,junction_third_s1_2_4_22,Building_259,0.08,279,PVC
P_building_s1_2_4_23,junction_third_s1_2_4_23,Building_260,0.09,250,PVC
P_building_s1_2_4_24,junction_third_s1_2_4_24,Building_261,0.09,263,PVC
P_third_s1_2_5,junction_second_s1_2_5,junction_third_s1_2_5,0.12,399,PVC
P_building_s1_2_5_1,junction_third_s1_2_5_1,Building_262,0.09,233,PVC
P_building_s1_2_5_2,junction_third_s1_2_5_2,Building_263,0.08,220,PVC
P_building_s1_2_5_3,junction_third_s1_2_5_3,Building_264,0.1,192,PVC
P_building_s1_2_5_4,junction_third_s1_2_5_4,Building_265,0.1,104,PVC
P_building_s1_2_5_5,junction_third_s1_2_5_5,Building_266,0.1,215,PVC
P_building_s1_2_5_6,junction_third_s1_2_5_6,Building_267,0.09,145,PVC
P_building_s1_2_5_7,junction_third_s1_2_5_7,Building_268,0.09,137,PVC
P_building_s1_2_5_8,junction_third_s1_2_5_8,Building_269,0.09,173,PVC
P_building_s1_2_5_9,junction_third_s1_2_5_9,Building_270,0.1,125,PVC
P_building_s1_2_5_10,junction_third_s1_2_5_10,Building_271,0.08,181,PVC
P_building_s1_2_5_11,junction_third_s1_2_5_11,Building_272,0.1,165,PVC
P_building_s1_2_5_12,junction_third_s1_2_5_12,Building_273,0.09,269,PVC
P_building_s1_2_5_13,junction_third_s1_2_5_13,Building_274,0.09,233,PVC
P_building_s1_2_5_14,junction_third_s1_2_5_14,Building_275,0.1,158,PVC
P_building_s1_2_5_15,junction_third_s1_2_5_15,Building_276,0.1,200,PVC
P_building_s1_2_5_16,junction_third_s1_2_5_16,Building_277,0.08,291,PVC
P_building_s1_2_5_17,junction_third_s1_2_5_17,Building_278,0.08,149,PVC
P_building_s1_2_5_18,junction_third_s1_2_5_18,Building_279,0.08,131,PVC
P_building_s1_2_5_19,junction_third_s1_2_5_19,Building_280,0.09,248,PVC
P_building_s1_2_5_20,junction_third_s1_2_5_20,Building_281,0.08,213,PVC
P_building_s1_2_5_21,junction_third_s1_2_5_21,Building_282,0.09,132,PVC
P_building_s1_2_5_22,junction_third_s1_2_5_22,Building_283,0.08,240,PVC
P_third_s1_2_6,junction_second_s1_2_6,junction_third_s1_2_6,0.11,349,PVC
P_building_s1_2_6_1,junction_third_s1_2_6_1,Building_284,0.09,131,PVC
P_building_s1_2_6_2,junction_third_s1_2_6_2,Building_285,0.08,185,PVC
P_building_s1_2_6_3,junction_third_s1_2_6_3,Building_286,0.08,184,PVC
P_building_s1_2_6_4,junction_third_s1_2_6_4,Building_287,0.09,248,PVC
P_building_s1_2_6_5,junction_third_s1_2_6_5,Building_288,0.08,227,PVC
P_building_s1_2_6_6,junction_third_s1_2_6_6,Building_289,0.09,185,PVC
P_building_s1_2_6_7,junction_third_s1_2_6_7,Building_290,0.09,230,PVC
P_third_s1_2_7,junction_second_s1_2_7,junction_third_s1_2_7,0.14,429,PVC
P_building_s1_2_7_1,junction_third_s1_2_7_1,Building_291,0.1,121,PVC
P_building_s1_2_7_2,junction_third_s1_2_7_2,Building_292,0.08,117,PVC
P_building_s1_2_7_3,junction_third_s1_2_7_3,Building_293,0.1,139,PVC
P_building_s1_2_7_4,junction_third_s1_2_7_4,Building_294,0.09,262,PVC
P_building_s1_2_7_5,junction_third_s1_2_7_5,Building_295,0.08,116,PVC
P_building_s1_2_7_6,junction_third_s1_2_7_6,Building_296,0.08,103,PVC
P_building_s1_2_7_7,junction_third_s1_2_7_7,Building_297,0.09,279,PVC
P_building_s1_2_7_8,junction_third_s1_2_7_8,Building_298,0.1,179,PVC
P_building_s1_2_7_9,junction_third_s1_2_7_9,Building_299,0.09,275,PVC
P_building_s1_2_7_10,junction_third_s1_2_7_10,Building_300,0.09,254,PVC
P_building_s1_2_7_11,junction_third_s1_2_7_11,Building_301,0.09,195,PVC
P_building_s1_2_7_12,junction_third_s1_2_7_12,Building_302,0.09,277,PVC
P_building_s1_2_7_13,junction_third_s1_2_7_13,Building_303,0.09,108,PVC
P_building_s1_2_7_14,junction_third_s1_2_7_14,Building_304,0.09,192,PVC
P_third_s1_2_8,junction_second_s1_2_8,junction_third_s1_2_8,0.14,387,PVC
P_building_s1_2_8_1,junction_third_s1_2_8_1,Building_305,0.09,238,PVC
P_building_s1_2_8_2,junction_third_s1_2_8_2,Building_306,0.09,184,PVC
P_building_s1_2_8_3,junction_third_s1_2_8_3,Building_307,0.1,176,PVC
