Building,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
B11,0.447,0.606,0.7,0.677,0.605,0.7,0.7,0.7,0.7,0.7,0.522,0.436,0.428,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.278,0.28,0.41
B12,0.49,0.575,0.66,0.7,0.669,0.68,0.7,0.7,0.7,0.7,0.578,0.436,0.412,0.218,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.33,0.437
B13,0.403,0.568,0.432,0.548,0.7,0.7,0.611,0.7,0.7,0.566,0.587,0.346,0.305,0.24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.233,0.269
B14,0.33,0.612,0.669,0.7,0.7,0.662,0.65,0.645,0.7,0.7,0.588,0.446,0.38,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.349
B15,0.501,0.547,0.636,0.594,0.7,0.7,0.7,0.7,0.7,0.7,0.55,0.364,0.352,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.205,0.318,0.425
B16,0.383,0.506,0.576,0.7,0.7,0.7,0.7,0.7,0.641,0.474,0.486,0.304,0.271,0.291,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.31,0.524
B17,0.436,0.592,0.547,0.592,0.7,0.7,0.7,0.7,0.647,0.7,0.518,0.564,0.38,0.2,0.201,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.292,0.299
B18,0.439,0.376,0.556,0.7,0.7,0.7,0.7,0.7,0.647,0.618,0.58,0.509,0.362,0.262,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.201,0.271,0.468
B19,0.396,0.364,0.433,0.7,0.544,0.7,0.7,0.571,0.558,0.7,0.569,0.446,0.428,0.305,0.227,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.27,0.395
B20,0.278,0.511,0.514,0.537,0.651,0.7,0.7,0.7,0.7,0.584,0.475,0.566,0.336,0.34,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.44
B21,0.416,0.546,0.58,0.7,0.7,0.7,0.602,0.7,0.7,0.7,0.565,0.441,0.345,0.247,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.208,0.271,0.502
B22,0.435,0.467,0.685,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.427,0.394,0.287,0.254,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.244,0.356
B23,0.335,0.595,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.561,0.575,0.35,0.433,0.219,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.247,0.273,0.487
B24,0.367,0.537,0.7,0.613,0.592,0.612,0.7,0.7,0.7,0.592,0.418,0.391,0.326,0.209,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.204,0.301,0.525
B25,0.308,0.603,0.605,0.623,0.7,0.7,0.7,0.7,0.7,0.566,0.4,0.386,0.259,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.264,0.265
B26,0.339,0.49,0.556,0.519,0.644,0.7,0.663,0.7,0.687,0.695,0.456,0.572,0.367,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.393
B27,0.449,0.431,0.625,0.7,0.62,0.683,0.7,0.7,0.7,0.622,0.462,0.463,0.352,0.244,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.269,0.316,0.447
B28,0.41,0.494,0.491,0.7,0.7,0.7,0.7,0.585,0.621,0.653,0.625,0.435,0.344,0.269,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.215,0.453
B29,0.31,0.497,0.592,0.7,0.633,0.7,0.7,0.7,0.7,0.573,0.473,0.472,0.402,0.252,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.221,0.415
B30,0.403,0.536,0.454,0.7,0.7,0.596,0.7,0.624,0.618,0.7,0.485,0.53,0.33,0.267,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.284,0.267,0.449
B31,0.485,0.465,0.488,0.7,0.7,0.7,0.673,0.7,0.61,0.534,0.463,0.572,0.415,0.288,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.377,0.352
B32,0.32,0.588,0.613,0.685,0.7,0.7,0.687,0.7,0.7,0.62,0.503,0.486,0.383,0.222,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.371,0.442
B33,0.388,0.581,0.487,0.7,0.599,0.7,0.7,0.615,0.591,0.7,0.663,0.458,0.351,0.266,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.243,0.271,0.385
B34,0.378,0.488,0.433,0.7,0.7,0.7,0.7,0.7,0.7,0.495,0.618,0.446,0.326,0.283,0.205,0.2,0.2,0.2,0.2,0.2,0.2,0.237,0.353,0.376
B35,0.411,0.477,0.511,0.607,0.7,0.612,0.693,0.7,0.7,0.7,0.488,0.376,0.346,0.276,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.269,0.409
B36,0.348,0.566,0.521,0.7,0.659,0.7,0.652,0.7,0.7,0.665,0.418,0.558,0.279,0.262,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.218,0.337,0.431
B37,0.368,0.516,0.507,0.608,0.7,0.7,0.7,0.663,0.7,0.576,0.388,0.328,0.382,0.309,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.364,0.357
B38,0.358,0.407,0.7,0.7,0.7,0.7,0.7,0.664,0.629,0.7,0.378,0.378,0.294,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.344
B39,0.388,0.463,0.591,0.669,0.677,0.7,0.7,0.638,0.7,0.644,0.652,0.505,0.325,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.215,0.2,0.325
B40,0.331,0.602,0.474,0.7,0.638,0.7,0.7,0.7,0.623,0.52,0.501,0.571,0.393,0.268,0.201,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.436
B41,0.327,0.491,0.526,0.664,0.635,0.697,0.7,0.685,0.7,0.607,0.645,0.542,0.367,0.254,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.243,0.208,0.284
B42,0.466,0.524,0.657,0.69,0.628,0.7,0.7,0.7,0.658,0.652,0.483,0.381,0.452,0.2,0.224,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.301,0.429
B43,0.364,0.493,0.479,0.7,0.7,0.631,0.7,0.7,0.607,0.7,0.666,0.369,0.397,0.255,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.274,0.426
B44,0.338,0.371,0.508,0.7,0.7,0.7,0.646,0.7,0.7,0.7,0.495,0.503,0.422,0.228,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.247,0.354,0.369
B45,0.474,0.521,0.612,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.529,0.342,0.352,0.213,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.26,0.453
B46,0.462,0.402,0.625,0.7,0.7,0.7,0.7,0.682,0.7,0.605,0.697,0.498,0.399,0.243,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.369,0.504
B47,0.539,0.444,0.619,0.7,0.7,0.635,0.7,0.663,0.599,0.661,0.571,0.464,0.285,0.308,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.263,0.353
B48,0.375,0.489,0.65,0.695,0.591,0.635,0.7,0.599,0.7,0.699,0.588,0.426,0.398,0.262,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.279,0.439
B49,0.489,0.537,0.66,0.7,0.616,0.7,0.7,0.601,0.7,0.545,0.506,0.477,0.247,0.288,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.209,0.354,0.419
B50,0.501,0.398,0.7,0.691,0.7,0.7,0.7,0.7,0.55,0.7,0.641,0.33,0.296,0.279,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.271,0.32,0.352
B51,0.487,0.404,0.452,0.652,0.7,0.7,0.7,0.7,0.602,0.7,0.51,0.454,0.337,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.28,0.504
B52,0.366,0.523,0.609,0.567,0.7,0.7,0.7,0.698,0.652,0.467,0.565,0.452,0.386,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.206,0.325
B53,0.481,0.534,0.7,0.7,0.644,0.599,0.7,0.7,0.587,0.623,0.481,0.483,0.318,0.32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.312,0.475
B54,0.502,0.371,0.586,0.557,0.692,0.7,0.691,0.7,0.7,0.7,0.582,0.384,0.287,0.259,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.306,0.373
B55,0.309,0.373,0.606,0.7,0.583,0.7,0.595,0.7,0.7,0.7,0.59,0.548,0.319,0.293,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.23,0.247,0.319
B56,0.351,0.43,0.7,0.547,0.7,0.68,0.7,0.7,0.7,0.666,0.55,0.505,0.345,0.283,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.306,0.401
B57,0.438,0.446,0.577,0.608,0.7,0.591,0.7,0.7,0.675,0.7,0.529,0.556,0.431,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.365,0.466
B58,0.368,0.462,0.7,0.606,0.7,0.7,0.7,0.7,0.7,0.615,0.561,0.513,0.255,0.234,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.207,0.274
B59,0.325,0.553,0.578,0.7,0.7,0.68,0.7,0.7,0.563,0.588,0.396,0.49,0.37,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.321,0.49
B60,0.321,0.44,0.544,0.7,0.648,0.7,0.663,0.629,0.7,0.7,0.377,0.543,0.395,0.32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.292,0.416
B61,0.522,0.358,0.638,0.674,0.7,0.7,0.7,0.7,0.7,0.7,0.513,0.517,0.44,0.213,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.204,0.246,0.418
B62,0.478,0.417,0.7,0.695,0.7,0.7,0.7,0.7,0.7,0.66,0.553,0.527,0.394,0.282,0.203,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.425
B63,0.371,0.517,0.537,0.618,0.671,0.58,0.7,0.7,0.7,0.648,0.568,0.58,0.311,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.258,0.3,0.408
B64,0.522,0.358,0.533,0.527,0.7,0.7,0.672,0.7,0.548,0.7,0.568,0.333,0.306,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.309,0.319
B65,0.379,0.543,0.549,0.7,0.7,0.593,0.7,0.668,0.7,0.649,0.656,0.472,0.226,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.232,0.309,0.513
B66,0.381,0.415,0.676,0.653,0.7,0.7,0.7,0.659,0.7,0.601,0.612,0.408,0.432,0.249,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.273,0.393
B67,0.52,0.423,0.67,0.651,0.7,0.7,0.7,0.7,0.557,0.507,0.636,0.494,0.282,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.239,0.425
B68,0.325,0.54,0.685,0.7,0.7,0.7,0.693,0.7,0.7,0.7,0.594,0.519,0.371,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.322,0.323
B69,0.435,0.57,0.7,0.59,0.68,0.67,0.7,0.7,0.692,0.7,0.591,0.475,0.296,0.235,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.242,0.44
B70,0.44,0.461,0.528,0.683,0.7,0.7,0.7,0.7,0.7,0.7,0.47,0.517,0.233,0.231,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.254,0.401
B71,0.321,0.675,0.697,0.7,0.57,0.7,0.7,0.7,0.7,0.7,0.456,0.426,0.377,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.295,0.423
B72,0.405,0.413,0.68,0.627,0.7,0.7,0.654,0.642,0.7,0.619,0.395,0.612,0.312,0.254,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.281,0.521
B73,0.425,0.542,0.59,0.7,0.7,0.7,0.673,0.7,0.7,0.538,0.522,0.407,0.438,0.304,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.266,0.295
B74,0.255,0.491,0.7,0.7,0.7,0.7,0.682,0.7,0.7,0.7,0.426,0.408,0.269,0.268,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.305,0.408
B75,0.431,0.54,0.561,0.7,0.621,0.7,0.7,0.7,0.7,0.7,0.565,0.507,0.312,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.211,0.327
B76,0.462,0.565,0.571,0.585,0.7,0.7,0.7,0.676,0.571,0.563,0.558,0.509,0.276,0.229,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.275,0.425
B77,0.467,0.527,0.454,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.643,0.534,0.262,0.2,0.215,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.275,0.323
B78,0.439,0.511,0.494,0.7,0.7,0.7,0.7,0.699,0.7,0.68,0.651,0.489,0.351,0.278,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.329,0.3
B79,0.399,0.634,0.659,0.7,0.7,0.7,0.685,0.7,0.7,0.7,0.559,0.48,0.287,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.289,0.412
B80,0.41,0.4,0.523,0.7,0.7,0.63,0.7,0.639,0.7,0.604,0.663,0.393,0.272,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.213,0.316,0.395
B81,0.439,0.399,0.672,0.672,0.7,0.613,0.7,0.7,0.7,0.508,0.601,0.45,0.314,0.236,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.381,0.465
B82,0.422,0.545,0.575,0.569,0.7,0.7,0.637,0.7,0.7,0.7,0.652,0.514,0.395,0.272,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.209,0.202,0.41
B83,0.351,0.387,0.416,0.7,0.629,0.7,0.7,0.7,0.624,0.606,0.614,0.516,0.304,0.284,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.214,0.38,0.295
B84,0.455,0.374,0.7,0.7,0.7,0.594,0.654,0.69,0.601,0.563,0.682,0.399,0.351,0.277,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.278,0.366
B85,0.393,0.627,0.452,0.7,0.7,0.7,0.7,0.62,0.684,0.533,0.606,0.523,0.274,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.211,0.383
B86,0.496,0.512,0.663,0.553,0.7,0.7,0.604,0.7,0.7,0.504,0.527,0.475,0.254,0.316,0.213,0.2,0.2,0.2,0.2,0.2,0.2,0.233,0.298,0.36
B87,0.305,0.575,0.481,0.588,0.615,0.7,0.7,0.7,0.636,0.7,0.671,0.53,0.252,0.218,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.214,0.237,0.469
B88,0.442,0.51,0.7,0.7,0.597,0.7,0.687,0.7,0.7,0.7,0.635,0.451,0.427,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.277,0.227,0.367
B89,0.314,0.619,0.626,0.565,0.7,0.7,0.645,0.7,0.7,0.605,0.661,0.405,0.457,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.342,0.528
B90,0.337,0.578,0.499,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.526,0.403,0.368,0.268,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.316,0.406
B91,0.449,0.553,0.558,0.7,0.698,0.7,0.7,0.672,0.7,0.618,0.651,0.362,0.244,0.315,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.213,0.237,0.352
B92,0.412,0.66,0.689,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.484,0.439,0.386,0.298,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.246,0.243,0.428
B93,0.314,0.642,0.661,0.7,0.556,0.7,0.7,0.7,0.7,0.535,0.671,0.322,0.419,0.219,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.37,0.342
B94,0.526,0.61,0.697,0.684,0.7,0.7,0.593,0.66,0.7,0.519,0.556,0.589,0.372,0.247,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.239,0.394,0.383
B95,0.398,0.527,0.58,0.637,0.7,0.7,0.7,0.7,0.7,0.7,0.594,0.532,0.337,0.266,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.329,0.309
B96,0.34,0.51,0.569,0.519,0.641,0.7,0.7,0.697,0.7,0.585,0.576,0.445,0.284,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.332,0.366
B97,0.534,0.438,0.497,0.686,0.592,0.682,0.7,0.7,0.7,0.7,0.678,0.419,0.274,0.209,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.249,0.344,0.337
B98,0.44,0.397,0.542,0.526,0.7,0.7,0.686,0.7,0.7,0.63,0.468,0.458,0.395,0.207,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.333,0.451
B99,0.408,0.59,0.642,0.519,0.7,0.629,0.7,0.638,0.529,0.651,0.532,0.486,0.368,0.226,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.381
B100,0.387,0.561,0.606,0.7,0.7,0.7,0.7,0.7,0.623,0.676,0.49,0.484,0.426,0.215,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.306,0.453
B101,0.322,0.362,0.55,0.618,0.7,0.7,0.7,0.692,0.7,0.64,0.583,0.333,0.332,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.299,0.38
B102,0.377,0.61,0.498,0.7,0.657,0.7,0.7,0.7,0.7,0.605,0.688,0.433,0.355,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.326
B103,0.281,0.509,0.514,0.7,0.7,0.7,0.7,0.672,0.7,0.7,0.552,0.454,0.449,0.301,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.267,0.531
B104,0.46,0.527,0.66,0.7,0.661,0.7,0.616,0.7,0.616,0.7,0.7,0.39,0.289,0.324,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.311,0.365
B105,0.41,0.558,0.7,0.7,0.7,0.7,0.7,0.7,0.57,0.484,0.694,0.462,0.447,0.329,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.313,0.462
B106,0.447,0.413,0.546,0.621,0.7,0.7,0.7,0.7,0.537,0.7,0.646,0.542,0.308,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.265,0.379,0.452
B107,0.35,0.516,0.526,0.649,0.688,0.628,0.7,0.621,0.7,0.7,0.47,0.588,0.379,0.224,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.243,0.33
B108,0.471,0.613,0.546,0.7,0.656,0.7,0.663,0.7,0.7,0.672,0.527,0.464,0.277,0.244,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.326,0.492
B109,0.385,0.521,0.457,0.7,0.625,0.7,0.7,0.64,0.7,0.553,0.661,0.435,0.288,0.28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.265,0.311
B110,0.392,0.449,0.686,0.635,0.7,0.7,0.7,0.7,0.7,0.7,0.468,0.481,0.321,0.218,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.382,0.429
B111,0.407,0.45,0.651,0.699,0.597,0.7,0.7,0.7,0.677,0.597,0.527,0.424,0.34,0.216,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.261,0.266,0.465
B112,0.413,0.429,0.452,0.7,0.7,0.696,0.7,0.7,0.7,0.523,0.697,0.362,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.284,0.374
B113,0.371,0.465,0.645,0.7,0.581,0.7,0.7,0.7,0.7,0.593,0.612,0.536,0.334,0.303,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.297,0.453
B114,0.41,0.458,0.445,0.591,0.7,0.7,0.7,0.637,0.7,0.7,0.62,0.403,0.341,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.327,0.466
B115,0.493,0.546,0.7,0.519,0.7,0.681,0.629,0.657,0.7,0.7,0.628,0.381,0.352,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.244,0.283,0.356
B116,0.314,0.368,0.666,0.7,0.599,0.7,0.7,0.674,0.7,0.7,0.473,0.401,0.407,0.243,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.217,0.398,0.432
B117,0.498,0.425,0.7,0.601,0.7,0.7,0.7,0.7,0.7,0.597,0.525,0.431,0.267,0.224,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.223,0.345,0.361
B118,0.428,0.527,0.525,0.7,0.7,0.62,0.7,0.7,0.7,0.513,0.385,0.424,0.455,0.208,0.202,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.246,0.45
B119,0.311,0.497,0.56,0.7,0.7,0.616,0.7,0.7,0.664,0.7,0.641,0.565,0.401,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.271,0.226,0.443
B120,0.318,0.409,0.428,0.545,0.7,0.676,0.7,0.7,0.691,0.7,0.613,0.484,0.295,0.222,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.294,0.329
B121,0.359,0.578,0.534,0.587,0.59,0.7,0.7,0.7,0.7,0.7,0.517,0.506,0.432,0.302,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.235,0.403
B122,0.431,0.431,0.7,0.589,0.662,0.7,0.687,0.547,0.7,0.7,0.479,0.488,0.422,0.236,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.331,0.506
B123,0.454,0.448,0.634,0.7,0.644,0.7,0.7,0.662,0.7,0.632,0.7,0.368,0.283,0.244,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.212,0.296,0.443
B124,0.483,0.477,0.7,0.7,0.7,0.7,0.679,0.7,0.646,0.575,0.519,0.586,0.373,0.274,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.219,0.278,0.334
B125,0.504,0.394,0.651,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.429,0.435,0.342,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.217,0.31,0.522
B126,0.455,0.589,0.547,0.69,0.7,0.7,0.7,0.571,0.7,0.552,0.549,0.4,0.292,0.213,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.208,0.317,0.328
B127,0.318,0.525,0.7,0.696,0.7,0.7,0.679,0.7,0.7,0.552,0.522,0.389,0.314,0.307,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.296,0.357
B128,0.346,0.409,0.492,0.667,0.664,0.7,0.7,0.7,0.7,0.466,0.421,0.56,0.334,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.367,0.47
B129,0.376,0.474,0.616,0.7,0.7,0.59,0.682,0.7,0.7,0.7,0.451,0.442,0.414,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.229,0.296,0.483
B130,0.545,0.363,0.497,0.675,0.641,0.7,0.7,0.7,0.684,0.655,0.632,0.352,0.384,0.265,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.228,0.347
B131,0.328,0.457,0.463,0.658,0.7,0.7,0.7,0.648,0.7,0.7,0.609,0.494,0.422,0.221,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.246,0.268,0.422
B132,0.333,0.516,0.7,0.7,0.7,0.7,0.7,0.666,0.7,0.629,0.587,0.529,0.384,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.374,0.304
B133,0.463,0.462,0.674,0.636,0.616,0.635,0.592,0.7,0.7,0.7,0.619,0.524,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.23,0.521
B134,0.532,0.454,0.582,0.7,0.7,0.7,0.685,0.7,0.699,0.668,0.479,0.545,0.33,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.233,0.224,0.339
B135,0.369,0.398,0.661,0.7,0.7,0.615,0.612,0.576,0.619,0.7,0.512,0.397,0.242,0.219,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.305,0.419
B136,0.342,0.497,0.574,0.7,0.7,0.687,0.7,0.7,0.7,0.671,0.523,0.349,0.325,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.256,0.294
B137,0.417,0.36,0.615,0.68,0.7,0.7,0.683,0.586,0.7,0.664,0.643,0.519,0.411,0.259,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.287,0.449
B138,0.512,0.388,0.51,0.7,0.7,0.7,0.7,0.567,0.7,0.513,0.521,0.508,0.315,0.286,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.213,0.37,0.45
